ruta	tipo	key	name_es	keywords_es	aliases_es	name_de	keywords_de	aliases_de	name_en	keywords_en	aliases_en
Interior	system	interior	Interior	interior	Interior	Innenraum	innenraum	Innenraum	Interior	interior	Interior
Frenos	system	brakes	Frenos		Frenos	Bremsen		Bremsen	Brakes		Brakes
Sistema eléctrico	system	electrics	Sistema eléctrico		Electricidad	Elektrik		Elektrik	Electrical system		Electrics
Chasis y dirección	system	chassis-and-steering-system	Chasis y dirección		Chasis y Direccion	Fahrgestell und Lenkung	fahrgestell und lenkung	Fahrwerk und Lenkung	Chassis and steering system	chassis and steering system	Chassis and Steering System
Suspensión	system	suspension	Suspensión		Suspension	Fahrwerk	fahrwerk	Federung	Suspension		Suspension
Transmisión	system	transmission	Transmisión		Transmision	Getriebe		Getriebe	Transmission		Transmission
innenraum	system	innenraum					innenraum	Innenraum	Innenraum	innenraum	Innenraum
Carrocería	system	body	Carrocería	carroceria	Carroceria	Karosserie	karosserie	Karosserie	Body	body	Body
clima	system	climate	clima	clima	Clima	Klima	klima	Klima	climate	climate	Climate
Sistema de climatización	system	climate-control-systems	Sistema de climatización	sistema|de|climatizaci|n	Sistema de Climatización	Klimaanlage	klimasysteme	Klimasysteme	Climate control system	climate|control|systems	Climate Control Systems
Sistema de refrigeración	system	cooling-system	Sistema de refrigeración	sistema de refrigeración	Refrigeración	Kühlsystem	kühlsystem	Kühlung	Cooling system	cooling system	Cooling system
Motor	system	propulsion-unit	Motor		Unidad Motriz	Motor		Triebwerkseinheit	Propulsion unit		Propulsion Unit
sistema eléctrico	system	electrical-system	sistema eléctrico			Elektrik			electrical system		
Chasis y dirección	system	chassis-and-steering	Chasis y dirección			Fahrwerk und Lenkung			Chassis and steering	chassis and steering	
Sistemas climáticos	system	climate-systems	Sistemas climáticos			Klimasysteme			Climate systems		
enfriamiento	system	cooling	enfriamiento			Kühlung			cooling		
Unidad de motor	system	engine-unit	Unidad de motor	unidad de motor		Triebwerkseinheit			Engine unit	engine unit	
Ruedas y neumáticos	system	wheels-and-tires	Ruedas y neumáticos	llantas	Llantas	Räder und Reifen	reifen	Reifen	Wheels and tires	tires	Tires
Aceites y líquidos	system	oils-and-liquids	Aceites y líquidos	aceites|y|l|quidos	Aceites y líquidos	Öle und Flüssigkeiten	le|fl|ssigkeiten	Öle & Flüssigkeiten	Oils and liquids	oils|liquids	Oils & Liquids
Sistema de escape	system	exhaust-system	Sistema de escape	sistema de escape		Abgasanlage	abgasanlage		Exhaust system	exhaust system	
Sistema de alimentación	system	fuel-system	Sistema de alimentación	sistema de alimentación		Kraftstoffsystem	kraftstoffsystem		Fuel system	fuel system	
Sistema de encendido	system	ignition-system	Sistema de encendido	sistema de encendido		Zündanlage	zündanlage		Ignition system	ignition system	
Sistema de iluminación	system	lighting-system	Sistema de iluminación			Beleuchtung			Lighting system		
Sistema de seguridad y sujeción	system	safety-and-restraints	Sistema de seguridad y sujeción			Sicherheit und Rückhaltesysteme			Safety and restraints		
Cristales y retrovisores	system	glass-and-mirrors	Cristales y retrovisores			Verglasung und Spiegel			Glass and mirrors		
Limpiaparabrisas y lavaparabrisas	system	wipers-and-washers	Limpiaparabrisas y lavaparabrisas			Wisch- und Waschanlage			Wipers and washers		
Herramientas y taller	system	tools-and-workshop	Herramientas y taller			Werkzeuge und Werkstatt			Tools and workshop		
Interior > Interior	group	interior-components	Interior						Interior components		
Frenos > frenos	group	brakes	frenos		Frenos	Bremsen		Bremsen	brakes		Brakes
Frenos > Kits de reparación	group	repair-kits	Kits de reparación	kits de reparación	Kits de reparación	Reparatursätze	reparatursätze	Reparatursätze	Repair kits	repair kits	Repair kits
Frenos > Tuberías y mangueras	group	pipes-and-hoses	Tuberías y mangueras	tuberías y mangueras	Tuberías y mangueras	Rohre und Schläuche	rohre und schläuche	Rohre und Schläuche	Pipes and hoses	pipes and hoses	Pipes and hoses
Sistema eléctrico > Electricidad	group	electrical-system	Electricidad		Electricidad	Elektrik		Elektrik	Electrical system		Electrical system
Sistema eléctrico > Unidades de control, sensores y relés	group	control-units-sensors-and-relays	Unidades de control, sensores y relés	unidades de control sensores y relés	Unidades de control, sensores y relés	Steuergeräte, Sensoren, Relais	steuergeräte sensoren relais	Steuergeräte, Sensoren, Relais	Control units, sensors, and relays	control units sensors and relays	Control units, sensors, and relays
Sistema eléctrico > Kits de reparación	group	repair-kits	Kits de reparación	kits de reparación	Kits de reparación	Reparatursätze	reparatursätze	Reparatursätze	Repair kits	repair kits	Repair kits
Chasis y dirección > Dirección	group	steering-system	Dirección	dirección	Dirección	Lenkung	lenkung	Lenkung	Steering system	steering system	Steering system
Chasis y dirección > Enganche de remolque y accesorios	group	trailer-hitch-and-accessories	Enganche de remolque y accesorios	enganche de remolque y accesorios	Enganche de remolque y accesorios	Anhängerkupplung und Zubehör	anhängerkupplung und zubehör	Anhängerkupplung und Zubehör	Trailer hitch and accessories	trailer hitch and accessories	Trailer hitch and accessories
Chasis y dirección > Cojinetes	group	bearings	Cojinetes	cojinetes	Cojinetes	Lager	lager	Lager	Bearings	bearings	Bearings
Chasis y dirección > Kits de reparación	group	repair-kits	Kits de reparación	kits de reparación	Kits de reparación	Reparatursätze	reparatursätze	Reparatursätze	Repair kits	repair kits	Repair kits
Suspensión > Suspensión y brazos de control	group	suspension-and-control-arms	Suspensión y brazos de control	suspensión y brazos de control	Suspensión y brazos de control	Radaufhängung & Lenker	radaufhängung & lenker	Radaufhängung & Lenker	Suspension and control arms	suspension and control arms	Suspension and control arms
Suspensión > suspensión	group	suspension	suspensión		Suspensión	Federung		Federung	suspension		Suspension
Transmisión > Embrague y componentes	group	clutch-and-related-parts	Embrague y componentes	embrague y componentes	Embrague y componentes	Kupplung/-anbauteile	kupplung -anbauteile	Kupplung/-anbauteile	Clutch and related parts	clutch and related parts	Clutch and related parts
Transmisión > transmisión	group	transmission	transmisión		Transmisión	Getriebe		Getriebe	transmission		Transmission
Transmisión > Árbol de transmisión y diferencial	group	driveshaft-and-differential	Árbol de transmisión y diferencial	árbol de transmisión y diferencial	Árbol de transmisión y diferencial	Kardanwellen & Differential	kardanwellen & differential	Kardanwellen & Differential	Driveshaft and differential	driveshaft and differential	Driveshaft and differential
Transmisión > Kits de reparación	group	repair-kits	Kits de reparación	kits de reparación	Kits de reparación	Reparatursätze	reparatursätze	Reparatursätze	Repair kits	repair kits	Repair kits
innenraum > Interior	group	interior-components	Interior	interior	Interior	Innenraum	innenraum	Innenraum	Interior components	interior|components	Interior components
Carrocería > Sistema de lavado de parabrisas	group	windshield-washer-system	Sistema de lavado de parabrisas	sistema|de|lavado|parabrisas	Sistema de lavado de parabrisas	Scheibenwaschanlage	scheibenwaschanlage	Scheibenwaschanlage	Windshield washer system	windshield|washer|system	Windshield washer system
Carrocería > Carrocería	group	bodywork	Carrocería	carrocer|a	Carrocería	Karosserie	karosserie	Karosserie	Bodywork	bodywork	Bodywork
