DE_Automobilsysteme	ES_Sistemas automotrices	EN_automotive systems	Image_automotive system	DE_Groups	ES_Groups	EN_Groups	Image_Group2	DE_Category	ES_Category	EN_Category	DE_Element	ES_Element	EN_Element	Image_Elemnt
Bremsen	Frenos	Brakes	Frenos__.jpg	Bremsen	Frenos	Brakes	Frenos_Frenos_.jpg	Bremsbeläge und zugehörige Bauteile	Pastillas de freno y componentes	Brake pads and related parts	Bremsbeläge	Pastillas de freno	Brake pads	Frenos_Frenos_Pastillas de freno.jpg
Bremsen	Frenos	Brakes	Frenos__.jpg	Bremsen	Frenos	Brakes	Frenos_Frenos_.jpg	Bremsbeläge und zugehörige Bauteile	Pastillas de freno y componentes	Brake pads and related parts	Bremsverschleißanzeige	Indicador de desgaste de frenos	Brake wear indicator	Frenos_Frenos_Indicador de desgaste de frenos.jpg
Bremsen	Frenos	Brakes	Frenos__.jpg	Bremsen	Frenos	Brakes	Frenos_Frenos_.jpg	Bremsbeläge und zugehörige Bauteile	Pastillas de freno y componentes	Zubehörsatz, Scheibenbremsbelag	"Kit de accesorios para pastillas de freno de disco,"""	Accessory kit, disc brake pad		Frenos_Frenos_Accessory kit, disc brake pad.jpg
Bremsen	Frenos	Brakes	Frenos__.jpg	Bremsen	Frenos	Brakes	Frenos_Frenos_.jpg	Bremsscheiben und zugehörige Bauteile	Discos de freno y componentes	Brake discs and related parts	Bremsscheiben	Discos de freno	Brake discs	Frenos_Frenos_Discos de freno.jpg
Bremsen	Frenos	Brakes	Frenos__.jpg	Bremsen	Frenos	Brakes	Frenos_Frenos_.jpg	Bremsscheiben und zugehörige Bauteile	Discos de freno y componentes	Brake discs and related parts	Bremsscheiben und -beläge	Discos y pastillas de freno	Brake discs and pads	Frenos_Frenos_Discos y pastillas de freno.jpg
Bremsen	Frenos	Brakes	Frenos__.jpg	Bremsen	Frenos	Brakes	Frenos_Frenos_.jpg	Trommelbremsen und zugehörige Bauteile	Frenos de tambor y componentes	Drum brakes and related parts	Trommelbremse	Freno de tambor	Drum brake	Frenos_Frenos_Freno de tambor.jpg
Bremsen	Frenos	Brakes	Frenos__.jpg	Bremsen	Frenos	Brakes	Frenos_Frenos_.jpg	Trommelbremsen und zugehörige Bauteile	Frenos de tambor y componentes	Drum brakes and related parts	Bremsbacken	Zapatas de freno	Brake shoes	Frenos_Frenos_Zapatas de freno.jpg
Bremsen	Frenos	Brakes	Frenos__.jpg	Bremsen	Frenos	Brakes	Frenos_Frenos_.jpg	Trommelbremsen und zugehörige Bauteile	Frenos de tambor y componentes	Zubehörsatz, Bremsbacken	Kit de accesorios para zapatas de freno	Accessory kit, brake shoes		Frenos_Frenos_Accessory kit, brake shoes.jpg
Bremsen	Frenos	Brakes	Frenos__.jpg	Bremsen	Frenos	Brakes	Frenos_Frenos_.jpg	Trommelbremsen und zugehörige Bauteile	Frenos de tambor y componentes	Drum brakes and related parts	Bremstrommel	Tambor de freno	Brake drum	Frenos_Frenos_Tambor de freno.jpg
Bremsen	Frenos	Brakes	Frenos__.jpg	Bremsen	Frenos	Brakes	Frenos_Frenos_.jpg	Bremssattel und zugehörige Bauteile	Pinzas de freno y componentes	Brake calipers and related parts	Bremssattel	Pinza de freno	Brake caliper	Frenos_Frenos_Pinza de freno.jpg
Bremsen	Frenos	Brakes	Frenos__.jpg	Bremsen	Frenos	Brakes	Frenos_Frenos_.jpg	Bremssattel und zugehörige Bauteile	Pinzas de freno y componentes	Brake calipers and related parts	Bremssattel-Reparatursatz	Kit de reparación de pinza de freno	Brake caliper repair kit	Frenos_Frenos_Kit de reparación de pinza de freno.jpg
